fy,held_as,amount,column,page,document
2025,Bartholomew - Health Insurance Stabilization,11026.88,as printed,35,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,Bartholomew - OPEB,1649190.51,as printed,35,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,Bartholomew Opioid Settlement Stabilization,233317.54,as printed,35,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,Bartholomew Stabilization Fund,3147178.96,as printed,35,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,Bartholomew- PEG Access Enterprise Fund,782591.31,as printed,35,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,Bartholomew-Sewer Capital Reserve Stabilization,191679.2,as printed,35,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,Batholomew PrudentTrust Funds,1882242.44,as printed,35,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,BlueStone Bank General Fund Investment,977949.73,as printed,35,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,Departmental Petty Cash,3966.29,as printed,35,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,Edward Jones Library Trust Funds,104808.21,as printed,35,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,Enterprise Bank General Fund Investment,1132214.76,as printed,35,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,Enterprise Bank-School Activity Fees,386847.6,as printed,35,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,Enterprise Bank-Security Street,23351.21,as printed,35,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,Fidelity Bank General Fund Investment,3034599.56,as printed,35,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,Fidelity Bank-EOCD Grant,97528.82,as printed,35,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,Fidelity Bank-Sewer Hook-Up,21.57,as printed,35,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,Harbor One Bank General Fund Investment,576.04,as printed,35,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,Hometown Bank General Fund Investment,791669.97,as printed,35,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,Main Street Bank - ARPA CLFRF Fund,2310971.81,as printed,35,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,Main Street Bank General Fund Investments,717797.44,as printed,35,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,Main Street Bank-PEG Access Enterprise,163577.3,as printed,35,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,Main Street Bank-Sewer Enterprise,1041457.8,as printed,35,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,Main Street Bank-Trash Enterprise,222940.64,as printed,35,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
